"","Y01","Y02","Y03","Y04","Y05","Y06","Y07","Y08","Y09","Y10","Y11","Y12","Y13","Y14","Y15"
"otu13238",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"otu2236",0,0,0,0,0,0,0,0,0,0,0,0,1,6,4
"otu651",0,0,0,0,0,0,0,0,0,0,0,17,49,85,21
"otu15091",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu795",0,0,0,0,0,0,0,0,0,0,0,4,24,72,15
"otu9022",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu2337",0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
"otu3001",0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
"otu2446",0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
"otu14733",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu11137",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu13157",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"otu1099",7,239,100,59,17,10,10,7,3,1,1,3,5,1,1
"otu6616",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu98",2963,802,352,293,248,175,200,152,58,56,24,27,28,48,32
"otu14246",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu7733",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu8582",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu9835",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu7647",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu9162",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu11431",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu13816",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu7546",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"otu5393",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu15676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu13482",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"otu5928",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu3191",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"otu7658",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu15552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu6072",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu13998",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"otu7445",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu12609",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu2692",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"otu6884",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"otu11655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu7048",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9246",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu10987",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu3259",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"otu3281",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"otu6240",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu3980",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"otu7076",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"otu10159",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"otu16623",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu3876",0,0,0,2,0,1,0,0,0,0,0,0,0,1,2
"otu3452",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"otu9221",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"otu3106",0,0,1,0,1,0,0,0,0,0,0,0,0,3,2
"otu3294",0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
"otu4654",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu13900",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu3534",0,0,0,0,0,0,1,0,0,0,0,0,2,2,3
"otu6162",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"otu3795",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"otu3107",0,3,0,3,0,0,1,2,3,0,0,1,1,2,0
"otu11404",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"otu11518",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu6809",0,0,1,1,0,0,1,0,0,0,0,0,0,2,3
"otu2615",0,2,0,1,2,1,2,2,0,0,1,1,2,2,3
"otu3190",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"otu3496",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"otu8297",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"otu6812",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"otu12853",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"otu1893",0,0,1,7,1,2,7,1,3,0,0,0,1,2,4
"otu2754",0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
"otu6841",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu14785",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"otu4174",0,0,2,0,1,2,1,0,0,0,0,0,0,0,0
"otu7585",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu4042",0,0,0,0,0,0,1,1,2,0,0,0,1,1,2
"otu6310",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu13285",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"otu12548",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu11562",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu12589",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu5951",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"otu10411",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu12800",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu12852",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu11670",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu7907",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu13144",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu12964",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"otu15467",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu5537",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu6477",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu12846",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu11521",0,1,2,0,1,0,0,1,0,0,0,0,0,0,0
"otu13101",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu5758",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu5673",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu15989",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu7197",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu7775",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu12582",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu16322",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu22",675,7025,4348,3767,2426,1045,1142,565,126,70,33,32,36,46,22
"otu13235",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"otu3606",0,0,1,0,0,1,0,2,1,0,0,0,2,0,2
"otu15417",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
