"","Domain","Phylum","Class","Order","Family","Genus","Species"
"otu2231","Bacteria","Acidobacteria","c5LKS83","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu11301","Bacteria","Acidobacteria","c5LKS83","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu2099","Bacteria","Acidobacteria","c5LKS83","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu7059","Bacteria","Latescibacteria","uncultured actinobacterium","uncultured actinobacterium","uncultured actinobacterium","uncultured actinobacterium","uncultured actinobacterium"
"otu14930","Bacteria","Nitrospinae",NA,NA,NA,NA,NA
"otu6771","Bacteria","Nitrospinae","Belgica2005-10-ZG-3","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu2669","Bacteria","Nitrospinae","Belgica2005-10-ZG-3","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu11517","Bacteria","Nitrospinae","MD2898-B26","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu10707","Bacteria","Firmicutes",NA,NA,NA,NA,NA
"otu3758","Bacteria","Nitrospinae","MD2898-B26","uncultured Syntrophobacterales bacterium","uncultured Syntrophobacterales bacterium","uncultured Syntrophobacterales bacterium","uncultured Syntrophobacterales bacterium"
"otu11164","Bacteria","Acidobacteria","Subgroup 18",NA,NA,NA,NA
"otu5998","Bacteria","Acidobacteria","Subgroup 18","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu9079","Bacteria","Acidobacteria","Subgroup 18","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu2353","Bacteria","Acidobacteria","Subgroup 18","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu3386","Bacteria","Acidobacteria","Subgroup 19","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu1502","Bacteria","Acidobacteria","Subgroup 19","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu2147","Bacteria","Acidobacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu7335","Bacteria","Acidobacteria","Subgroup 9","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu11314","Bacteria","Acidobacteria","Subgroup 9","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu11991","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu1913","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu8793","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu6881","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu4039","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu14270","Bacteria","Acidobacteria","Subgroup 22","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu8759","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu11237","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu5459","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu10724","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu3982","Bacteria","Acidobacteria","Subgroup 22","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu8544","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu5329","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu3806","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu7209","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu5850","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu3607","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu6265","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu16082","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu4181","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu10893","Bacteria","Acidobacteria","Subgroup 22","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp."
"otu11865","Bacteria","Acidobacteria","Subgroup 22","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp."
"otu7666","Bacteria","Acidobacteria","Subgroup 22","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp."
"otu1335","Bacteria","Acidobacteria","Subgroup 22","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp.","uncultured Acidobacterium sp."
"otu3309","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu6244","Bacteria","Acidobacteria","Subgroup 22","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu6261","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu3197","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu7980","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu8592","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu9668","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu12822","Bacteria","Acidobacteria",NA,NA,NA,NA,NA
"otu16706","Bacteria","Acidobacteria","d142","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu9271","Bacteria","Acidobacteria","Holophagae","Subgroup 23","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu13675","Bacteria","Acidobacteria","Holophagae","Subgroup 23",NA,NA,NA
"otu6970","Bacteria","Acidobacteria","Holophagae","Subgroup 10","TK85","uncultured bacterium","uncultured bacterium"
"otu7138","Bacteria","Acidobacteria","Holophagae","Subgroup 10",NA,NA,NA
"otu11375","Bacteria","Acidobacteria","Holophagae","Subgroup 10",NA,NA,NA
"otu3905","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu4562","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu8717","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu3029","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu3125","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu3271","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","Ambiguous_taxa","Ambiguous_taxa"
"otu2431","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","uncultured bacterium","uncultured bacterium"
"otu10519","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","uncultured soil bacterium","uncultured soil bacterium"
"otu9523","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu4232","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","uncultured bacterium","uncultured bacterium"
"otu3215","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu4813","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","Ambiguous_taxa","Ambiguous_taxa"
"otu14107","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","uncultured bacterium","uncultured bacterium"
"otu6188","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19",NA,NA
"otu1983","Bacteria","Acidobacteria","Holophagae","Subgroup 10",NA,NA,NA
"otu9583","Bacteria","Acidobacteria","Holophagae","Subgroup 10",NA,NA,NA
"otu3967","Bacteria","Acidobacteria","Holophagae","Subgroup 10","Sva0725","uncultured bacterium","uncultured bacterium"
"otu3877","Bacteria","Acidobacteria","Holophagae","Subgroup 10","CA002","uncultured bacterium","uncultured bacterium"
"otu7564","Bacteria","Acidobacteria","Holophagae","Subgroup 10","CA002","Ambiguous_taxa","Ambiguous_taxa"
"otu11611","Bacteria","Acidobacteria","Holophagae","Subgroup 10","CA002",NA,NA
"otu3243","Bacteria","Acidobacteria","Holophagae","Subgroup 10","CA002",NA,NA
"otu8499","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu11268","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu3290","Bacteria","Acidobacteria","Holophagae","Subgroup 7","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu8478","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu2853","Bacteria","Acidobacteria","Holophagae","Subgroup 7","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"otu9298","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu6139","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu2253","Bacteria","Acidobacteria","Holophagae","Subgroup 7","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu11432","Bacteria","Acidobacteria","Holophagae","Subgroup 7","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium"
"otu14413","Bacteria","Acidobacteria","Holophagae","Subgroup 7","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium"
"otu1958","Bacteria","Acidobacteria","Holophagae","Subgroup 7",NA,NA,NA
"otu11484","Bacteria","Acidobacteria","AT-s3-28",NA,NA,NA,NA
"otu3311","Bacteria","Acidobacteria","AT-s3-28","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu3173","Bacteria","Acidobacteria",NA,NA,NA,NA,NA
"otu7863","Bacteria","Acidobacteria","Subgroup 22","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu8841","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu7309","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu5676","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu15697","Bacteria","Acidobacteria","Subgroup 22",NA,NA,NA,NA
"otu13969","Bacteria","Acidobacteria","d142","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu5477","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu14120","Bacteria","Acidobacteria","Subgroup 22","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu3091","Bacteria","Acidobacteria","Subgroup 25","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu11290","Bacteria","Acidobacteria","Subgroup 25","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu9263","Bacteria","Acidobacteria","Subgroup 25","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu6186","Bacteria","Acidobacteria","Subgroup 25","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu10466","Bacteria","Acidobacteria","Subgroup 25","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu2169","Bacteria","Acidobacteria","Subgroup 25","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu4419","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu2941","Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu2759","Bacteria","Acidobacteria","Subgroup 17","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"otu5378","Bacteria","Acidobacteria","Subgroup 17","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu2172","Bacteria","Acidobacteria","Subgroup 17","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu14987","Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu11085","Bacteria","Acidobacteria","Subgroup 17","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu1841","Bacteria","Acidobacteria","Subgroup 17","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"otu16214","Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu6185","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu4948","Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu3530","Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu2058","Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu1458","Bacteria","Acidobacteria","Subgroup 17","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu8292","Bacteria","Acidobacteria","Subgroup 17","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu9345","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu5197","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu7111","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu11203","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu3486","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu16485","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu3028","Bacteria","Acidobacteria","Subgroup 17","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu8069","Bacteria","Acidobacteria","Subgroup 17",NA,NA,NA,NA
"otu2650","Bacteria","Acidobacteria","Subgroup 20","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu338","Bacteria","Acidobacteria","Subgroup 21","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu6222","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu6858","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu2997","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu13282","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","uncultured bacterium"
"otu4167","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","Ambiguous_taxa"
"otu10257","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","uncultured bacterium"
"otu3657","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","uncultured Acidobacteria bacterium"
"otu6242","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","uncultured Acidobacteria bacterium"
"otu5455","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","Ambiguous_taxa"
"otu13812","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","DS-100","uncultured bacterium"
"otu16105","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41",NA
"otu10894","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41","uncultured bacterium"
"otu2526","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41","Ambiguous_taxa"
"otu4075","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41","uncultured Acidobacteria bacterium"
"otu11648","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)",NA,NA
"otu2215","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41","Ambiguous_taxa"
"otu7912","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41",NA
"otu10149","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41","uncultured bacterium"
"otu5286","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","RB41","uncultured bacterium"
"otu9871","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Blastocatella","Ambiguous_taxa"
"otu10043","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Blastocatella",NA
"otu3957","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Aridibacter","Ambiguous_taxa"
"otu4000","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Blastocatella",NA
"otu13487","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Blastocatella","uncultured bacterium"
"otu16637","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Stenotrophobacter","Ambiguous_taxa"
"otu11119","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Ambiguous_taxa","Ambiguous_taxa"
"otu11983","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","uncultured","Ambiguous_taxa"
"otu1777","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)",NA,NA
"otu11802","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)",NA,NA
"otu12401","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)",NA,NA
"otu3026","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Stenotrophobacter","Ambiguous_taxa"
"otu3034","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Ambiguous_taxa","Ambiguous_taxa"
"otu13831","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","uncultured","Ambiguous_taxa"
"otu1703","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Ambiguous_taxa","Ambiguous_taxa"
"otu2982","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","uncultured","uncultured bacterium"
"otu13042","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","uncultured","Ambiguous_taxa"
"otu7587","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","Blastocatella","uncultured bacterium"
"otu10682","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","uncultured bacterium","uncultured bacterium"
"otu6940","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu12824","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu5466","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacteria bacterium"
"otu8838","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu12635","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacteriales bacterium"
"otu2771","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu8601","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu5221","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu8441","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu14114","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu5504","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","Ambiguous_taxa"
"otu405","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacteria bacterium"
"otu9693","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacteria bacterium"
"otu12430","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu10617","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24",NA
"otu8836","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24",NA
"otu15661","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacteria bacterium"
"otu5991","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured bacterium"
"otu2550","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24",NA
"otu4973","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacteria bacterium"
"otu9214","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24","uncultured Acidobacterium sp."
"otu10875","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae (Subgroup 4)","11-24",NA
"otu12016","Bacteria","Acidobacteria","Subgroup 15","uncultured Holophaga sp.","uncultured Holophaga sp.","uncultured Holophaga sp.","uncultured Holophaga sp."
"otu14385","Bacteria","Acidobacteria","Subgroup 15",NA,NA,NA,NA
"otu4279","Bacteria","Acidobacteria","Subgroup 13","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu8611","Bacteria","Acidobacteria","Subgroup 12","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu11365","Bacteria","Acidobacteria","Subgroup 2","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu14166","Bacteria","Acidobacteria","Subgroup 2","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu10461","Bacteria","Acidobacteria","Subgroup 2","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"otu4915","Bacteria","Acidobacteria","Subgroup 2","uncultured forest soil bacterium","uncultured forest soil bacterium","uncultured forest soil bacterium","uncultured forest soil bacterium"
"otu4327","Bacteria","Acidobacteria","Subgroup 2","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu7472","Bacteria","Acidobacteria","Subgroup 2","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu6628","Bacteria","Acidobacteria","Subgroup 2","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"otu15248","Bacteria","Acidobacteria","Subgroup 2","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu4314","Bacteria","Acidobacteria","Subgroup 2","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu810","Bacteria","Acidobacteria","Subgroup 15",NA,NA,NA,NA
"otu15189","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium"
"otu14029","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Candidatus Koribacter",NA
"otu10634","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured soil bacterium"
"otu4113","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","Ambiguous_taxa"
"otu5016","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"otu3811","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","Ambiguous_taxa"
"otu9157","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus","Ambiguous_taxa"
"otu9509","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella",NA
"otu5385","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Ambiguous_taxa"
"otu6965","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","uncultured bacterium"
"otu15656","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium"
"otu6300","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Acidobacteria bacterium"
"otu3813","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured",NA
